Subject,Time,MPRAGE,Rest,FieldMap,tSNR,Relative Motion Mean,Relative Motion Median,Relative Motion SD,Relative Motion Variance,Relative Motion Max,Absolute Motion Mean,Absolute Motion Median,Absolute Motion SD,Absolute Motion Variance,Absolute Motion Max,FD Mean,FD Median,FD SD,FD Variance,FD Min,FD Max
109,1,1,1,1,56.964955,0.160502285,0.152045,0.069564871,0.004839271,0.524012,0.303576201,0.2834405,0.142809317,0.020394502,0.728122,0.266152114,0.24581114,0.112285107,0.012607945,0.0682934,0.7945941
109,2,1,1,1,53.870238,0.17074354,0.1711,0.090153925,0.00812773,0.681961,0.362284541,0.346625,0.172932148,0.029905526,0.861558,0.275551409,0.2618146,0.140558288,0.019756634,0.0507805,1.23725117
111,1,1,1,1,56.290123,0.191415653,0.1783075,0.09476424,0.008980261,0.530161,0.330281496,0.2393085,0.211608186,0.044778023,0.925492,0.342605889,0.322486,0.164214551,0.026966419,0.0631723,0.91709059
111,2,1,1,1,61.199719,0.201051578,0.183627,0.110096239,0.012121182,0.987648,0.296815604,0.2995865,0.163694426,0.026795864,1.34053,0.356172621,0.3171386,0.198524103,0.039411817,0.08507803,1.686665
115,1,1,1,1,60.830091,0.225815833,0.2226035,0.124596357,0.015524252,0.586791,0.253950804,0.193542,0.160810277,0.025859945,0.768736,0.367539644,0.3715369,0.184215456,0.033935335,0.0425583,0.894687
115,2,1,1,1,52.967708,0.315595448,0.3276435,0.152343139,0.023208432,0.828535,0.316037059,0.251506,0.213092238,0.045408301,1.28217,0.537477255,0.55381818,0.245160729,0.060103785,0.09358595,1.50298057
116,1,1,1,1,58.769569,0.097629189,0.0917979,0.056858797,0.003232923,0.395554,0.270293266,0.217735,0.204183131,0.041690752,1.16241,0.183199853,0.1709147,0.097294152,0.009466152,0.02761354,0.719834
117,1,1,1,1,59.600193,0.186534479,0.173154,0.120020151,0.014404837,1.13941,0.245000333,0.224836,0.112013876,0.012547109,0.912251,0.323223591,0.27540498,0.302989274,0.091802493,0.13553029,3.1147719
121,1,1,1,1,46.385,0.329390198,0.323813,0.130231291,0.016960191,0.886971,0.454002798,0.4173415,0.234313816,0.054902967,1.34876,0.547254324,0.52560123,0.213899255,0.045752894,0.1841175,1.5414427
121,2,1,1,1,48.066601,0.34877646,0.316728,0.160423085,0.025735565,1.03636,0.468398035,0.4474275,0.226032928,0.051090881,1.0914,0.631864309,0.57419,0.299017787,0.089411631,0.2044091,2.15245492
122,1,1,1,1,61.949713,0.124357298,0.124201,0.064211771,0.004123151,0.408446,0.303427786,0.2437915,0.188490361,0.035528619,0.634148,0.216328695,0.2052081,0.109264031,0.011938629,0.03602935,0.8032309
122,2,1,1,1,56.456512,0.111992255,0.107631,0.055117901,0.003037983,0.355189,0.32584846,0.257475,0.241675392,0.058406994,1.10301,0.20418255,0.1911288,0.09808328,0.009620329,0.0395848,0.6700111
128,1,1,1,1,48.299912,0.184056595,0.1468865,0.147232592,0.021677438,0.77282,0.609108388,0.6207145,0.269190371,0.07246346,1.26883,0.335629135,0.2781229,0.242500603,0.058806542,0.04881579,1.296287
128,2,1,1,1,45.784251,0.26747328,0.2116115,0.195598423,0.038258743,0.989175,0.677767932,0.654116,0.425275743,0.180859461,2.45759,0.49153018,0.3982762,0.326749712,0.106765375,0.046117,1.718107
140,1,1,1,1,68.35917,0.205975682,0.2047345,0.096215084,0.009257342,0.496331,0.169720903,0.159291,0.077587396,0.006019804,0.409822,0.332989007,0.3347591,0.142837763,0.020402627,0.04989195,0.8916068
140,2,1,1,1,54.552389,0.267729908,0.2643005,0.22254619,0.049526807,2.32397,0.361790121,0.3590755,0.202569067,0.041034225,2.20939,0.435651809,0.4000726,0.393482387,0.154828385,0.04739,3.895914
146,1,1,1,1,41.792839,0.344002038,0.292133,0.307741314,0.09470471,2.69017,0.471416891,0.365553,0.372635692,0.138857365,2.97503,0.629768848,0.5178157,0.579315901,0.335606933,0.16479483,4.8359388
146,2,1,1,1,46.974431,0.321734488,0.289082,0.191557139,0.036694139,1.73911,0.512867928,0.4701135,0.277180016,0.076828755,1.85315,0.602921247,0.5118142,0.348497361,0.121450402,0.1089839,2.4948907
149,1,1,1,1,57.559459,0.163921922,0.1344875,0.137668893,0.018952725,1.26128,0.297154665,0.267495,0.184340522,0.033981428,1.17292,0.294669986,0.2445533,0.264118344,0.069758497,0.02314,2.73315161
155,1,1,1,1,52.589254,0.088462435,0.04352335,0.111057818,0.012333838,0.792454,0.48200947,0.486674,0.31081596,0.096606553,1.73763,0.164273039,0.09128855,0.200532705,0.040213365,0.0240887,1.403574
161,1,1,1,1,52.744582,0.192132264,0.1797995,0.091777712,0.008423149,0.502253,0.426160336,0.4104,0.198995873,0.039599359,0.992295,0.313528359,0.288925,0.13700372,0.01877002,0.06797856,0.790369
161,2,1,1,1,54.309638,0.2308283,0.216389,0.102663904,0.010539877,0.649715,0.348418087,0.315963,0.16187878,0.026204739,0.978285,0.37083903,0.33147,0.158123881,0.025003159,0.1542379,1.0616864
163,1,1,1,1,57.090974,0.141374826,0.1158455,0.116277985,0.01352057,1.09254,0.384387761,0.3224245,0.266837209,0.071202099,1.47096,0.245784357,0.1990011,0.218254969,0.047635231,0.0344523,2.117137
163,2,1,1,1,49.700636,0.123970374,0.1152055,0.060153358,0.003618426,0.372513,0.849450111,0.6313525,0.68974185,0.47574383,3.08428,0.227714732,0.2176868,0.093537509,0.008749265,0.0610165,0.5616508
168,1,1,1,1,44.682,0.341611147,0.254313,0.285560161,0.081544608,1.36709,0.65705806,0.553205,0.343780488,0.118185014,1.85676,0.626306474,0.4914481,0.522604585,0.273115546,0.048205,2.75377812
168,2,1,1,1,45.26771,0.305003226,0.272146,0.198203385,0.039284583,1.07239,0.77893126,0.7447395,0.325856149,0.106182232,1.6357,0.53631115,0.4669,0.342293382,0.117164753,0.03089,1.6992973
175,1,1,1,1,66.206524,0.106318772,0.113241,0.04577839,0.002095661,0.220591,0.339014471,0.289895,0.238019481,0.056653272,1.06027,0.184260488,0.1891496,0.070007324,0.004901025,0.0454332,0.38417964
175,2,1,1,1,75.65045,0.085665017,0.0923429,0.036557164,0.001336426,0.173355,0.191591159,0.191632,0.088085957,0.007759135,0.452509,0.16071552,0.16794736,0.058361124,0.003406021,0.0464881,0.2915526
176,1,1,1,1,53.462353,0.147504449,0.113945,0.166551054,0.027739255,1.50266,0.440515816,0.380639,0.320613176,0.102792807,1.53834,0.283477217,0.2147308,0.35685876,0.12734817,0.0372891,3.1671961
176,2,1,1,1,68.616393,0.116863184,0.1089415,0.07264474,0.005277258,0.434438,0.213706836,0.193247,0.136910796,0.018744566,0.623526,0.205363244,0.17634001,0.129404396,0.016745498,0.024567,0.95376418
178,1,1,1,1,48.491148,0.202266738,0.19208,0.092403747,0.008538453,0.826797,0.639633954,0.471475,0.482078195,0.232399374,1.80506,0.378125757,0.3457016,0.189331874,0.035846561,0.100666,1.6727404
178,2,1,1,1,71.678456,0.151924774,0.1375555,0.0653833,0.004274976,0.410397,0.222608268,0.2081035,0.104092345,0.010835215,0.542409,0.263995111,0.24437144,0.118274666,0.013988897,0.04481343,0.8678787
192,1,1,1,1,68.448403,0.130789593,0.1338795,0.057131607,0.003264021,0.409508,0.182710782,0.153113,0.095865116,0.00919012,0.559725,0.21259661,0.2021011,0.091677785,0.008404816,0.051573,0.67920402
192,2,1,1,1,70.713778,0.103853725,0.0971092,0.067492194,0.004555196,0.616726,0.212496862,0.184299,0.14185825,0.020123765,0.977014,0.177768141,0.16494731,0.126431584,0.015984947,0.02122493,1.1508034
193,1,1,1,1,51.22397,0.223076627,0.2028215,0.141165301,0.019927643,0.767006,0.690769851,0.544128,0.448169827,0.200856194,1.66171,0.392495096,0.344702,0.259679824,0.067433618,0.0199616,1.546639
193,2,1,1,1,59.929553,0.157610685,0.1625135,0.067546718,0.004562559,0.359225,0.38358587,0.375933,0.177469462,0.031495411,0.980765,0.273081481,0.2501076,0.125892863,0.015849013,0.0463624,0.7043326
207,1,1,1,1,70.790611,0.128112048,0.1216445,0.069906212,0.004886878,0.435449,0.216561854,0.22373,0.066174932,0.004379121,0.513199,0.223413825,0.19721433,0.131231785,0.01722178,0.0288013,0.9585031
207,2,1,1,1,51.660712,0.147038981,0.156472,0.074596621,0.005564656,0.433364,0.67156285,0.5380875,0.453758717,0.205896974,1.71774,0.267680317,0.2803415,0.129278198,0.016712852,0.029352,0.74088
220,1,1,1,1,54.137457,0.210128948,0.187418,0.160157099,0.025650294,1.85821,0.399768323,0.3520765,0.240416884,0.057800282,1.93452,0.370999515,0.30445183,0.432196289,0.186793625,0.109781,5.09110246
220,2,1,1,1,52.799261,0.171519578,0.1453515,0.10987068,0.012071567,0.570384,0.465863198,0.487792,0.142906874,0.020422373,0.921371,0.313823849,0.27647,0.195771277,0.038326394,0.0295587,1.018632
223,1,1,1,1,43.749532,0.352644861,0.154609,0.504372895,0.254391998,3.07848,1.034783244,0.8467105,0.697239816,0.486143321,3.91827,0.748857021,0.3031376,1.126876593,1.269850731,0.0198821,7.0094137
223,2,1,1,1,41.189945,0.435982436,0.2058555,0.667751193,0.445891649,4.83142,0.768534362,0.4130975,0.731052995,0.534438491,4.71987,0.980584621,0.42294301,1.612357378,2.599696398,0.0261282,11.21503
224,1,1,1,1,52.972348,0.19373785,0.1733755,0.110549331,0.012221154,0.633757,0.391563237,0.3455995,0.227162063,0.051602606,0.989732,0.359356165,0.33207383,0.200480267,0.040192336,0.0451965,1.1284796
224,2,1,1,1,53.981904,0.161430001,0.146876,0.083767109,0.007016929,0.502036,0.387183726,0.334277,0.228159785,0.052056886,0.884646,0.283273369,0.259597,0.144576669,0.020902412,0.07581869,0.99725638
225,1,1,1,1,77.582177,0.107150503,0.07608295,0.12963903,0.016806278,1.06932,0.172372669,0.1563925,0.111409381,0.01241205,1.13598,0.191331625,0.12940192,0.232239127,0.053935014,0.01639757,1.9539605
225,2,1,1,1,82.978247,0.086820573,0.06830065,0.061232753,0.00374945,0.393673,0.12520121,0.10887,0.066100478,0.004369273,0.464414,0.169335932,0.12792806,0.116886139,0.013662369,0.01379227,0.72078853
226,1,1,1,1,46.344288,0.263654292,0.234102,0.132400915,0.017530004,0.976503,1.076448202,0.700035,0.71537751,0.511764944,2.56373,0.511645973,0.43426099,0.288577318,0.083276868,0.1482967,2.205565
226,2,1,1,1,53.243989,0.267571688,0.2521055,0.111135073,0.012351004,0.703559,0.470735759,0.40517,0.226629928,0.051361121,1.27909,0.457126468,0.4409664,0.184604257,0.034078732,0.1341188,1.1336428
230,1,1,1,1,42.357864,0.196373746,0.1720055,0.098015338,0.009607007,0.60874,0.77270931,0.832929,0.322518438,0.104018144,1.27079,0.378132403,0.3150768,0.207777724,0.043171581,0.067346,1.3174834
230,2,1,1,1,40.87123,0.192053899,0.187171,0.080158152,0.006425329,0.473096,1.077869534,0.5621395,0.883379519,0.780359387,2.67911,0.346050441,0.3127752,0.161197558,0.025984652,0.0840029,1.09573
231,1,1,1,1,42.962395,0.362756759,0.3210485,0.234574139,0.055025026,1.60314,0.599241316,0.5618865,0.267746001,0.071687922,1.73583,0.658844233,0.5785693,0.409954011,0.168062285,0.1243011,3.080628
231,2,1,1,1,37.608556,0.422932267,0.35926,0.277889282,0.077222452,1.59073,1.142933607,0.942868,0.634099722,0.402082473,2.68335,0.777154505,0.718059,0.426022083,0.181494817,0.1453932,2.3975978
241,1,1,1,1,53.079254,0.426714748,0.463044,0.158984378,0.025276033,0.71382,0.405923069,0.407553,0.211642548,0.044792566,0.933595,0.659392059,0.6701906,0.245944813,0.060488854,0.2092786,1.181128
241,2,1,1,1,51.224372,0.239717215,0.2380165,0.078083076,0.006096967,0.445452,0.555653095,0.3133835,0.487651736,0.237804204,1.91547,0.375683844,0.3773057,0.11566928,0.013379383,0.1070627,0.8846591
243,1,1,1,1,41.872916,0.233467355,0.201404,0.14825429,0.021979336,1.11715,0.886715531,0.9707205,0.453653574,0.205801561,1.91024,0.420146167,0.336353,0.285018355,0.081235461,0.06486856,2.374401
243,2,1,1,1,44.583827,0.210288316,0.176248,0.139343724,0.019416675,1.09578,0.649242997,0.5075845,0.448939204,0.201546401,2.01056,0.407645494,0.3417786,0.283699632,0.080485485,0.0758289,2.1774966
257,1,1,1,1,42.581919,0.196503595,0.1655315,0.158454865,0.025107946,1.03236,0.507074237,0.43717,0.336102188,0.112964682,1.63653,0.364550918,0.30873093,0.283592582,0.080424748,0.02521253,1.9370923
257,2,1,1,1,54.907893,0.203029424,0.191353,0.130941257,0.017145613,0.763748,0.398443013,0.330738,0.221223533,0.048939854,0.879511,0.331864357,0.30873,0.219539806,0.048197724,0.0216679,1.4896526
266,1,1,1,1,39.532611,0.262226999,0.250621,0.094885401,0.009003239,0.624502,0.998880506,0.968876,0.598100722,0.357724458,2.33305,0.482181609,0.45522264,0.174358338,0.030400829,0.1326439,1.219314
266,2,1,1,1,38.773871,0.324700773,0.3076245,0.158121824,0.025002509,1.71511,1.13481307,1.2198,0.635582268,0.403964818,3.14865,0.616218865,0.561418,0.327910364,0.107525215,0.1071802,3.6707187
292,1,1,1,1,60.225508,0.147175595,0.1280795,0.098909028,0.009782996,0.719679,0.421827197,0.2574525,0.311029226,0.096739173,1.34413,0.273635238,0.2387706,0.181245878,0.032850068,0.03468406,1.104727
292,2,1,1,1,72.627625,0.083160028,0.0816951,0.036132686,0.001305571,0.238755,0.207415134,0.2173785,0.081457116,0.006635262,0.385677,0.166329503,0.16385645,0.07451681,0.005552755,0.0415318,0.4489946
297,1,1,1,1,65.277419,0.110081479,0.1107905,0.049191117,0.002419766,0.249585,0.291950136,0.240586,0.165674031,0.027447883,0.859812,0.213187888,0.20831816,0.092842057,0.008619647,0.0283759,0.6391316
297,2,1,1,1,58.976409,0.141550705,0.1277935,0.084370308,0.007118348,0.523918,0.414242566,0.3935865,0.259614497,0.067399681,1.108,0.270063609,0.2384372,0.159042686,0.025294576,0.0502339,1.2079684
